State,County,City,ZIP Code,Estimated Population,Zone ID,Zone Target Pop,Status,Showcase Business Name,Showcase Street,Showcase City,Showcase State,Showcase Zip
AK,Anchorage,Anchorage,99501,17603,ANC-A,709930,Available,,,,,
AK,Anchorage,Anchorage,99502,24168,ANC-A,709930,Taken,,,,,
AK,Anchorage,Anchorage,99503,14563,ANC-A,709930,Available,,,,,
AK,Anchorage,Anchorage,99504,40914,ANC-A,709930,Available,,,,,
AK,Anchorage,Jber,99505,6174,ANC-A,709930,Available,,,,,
AK,Anchorage,Jber,99506,7749,ANC-A,709930,Available,,,,,
AK,Anchorage,Anchorage,99507,37850,ANC-A,709930,Available,,,,,
AK,Anchorage,Anchorage,99508,35857,ANC-A,709930,Available,,,,,
AK,North Slope,Anchorage,99510,353,ANC-A,709930,Available,,,,,
AK,Anchorage,Anchorage,99513,0,ANC-A,709930,Available,,,,,
AK,Anchorage,Anchorage,99515,22441,ANC-A,709930,Available,,,,,
AK,Anchorage,Anchorage,99516,20095,ANC-A,709930,Available,,,,,
AK,Anchorage,Anchorage,99517,16645,ANC-A,709930,Available,,,,,
AK,Anchorage,Anchorage,99518,10225,ANC-A,709930,Available,,,,,
AK,North Slope,Anchorage,99519,1316,ANC-A,709930,Available,,,,,
AK,Anchorage,Indian,99540,320,ANC-A,709930,Available,,,,,
AK,Aleutians West,Adak,99546,326,ANC-A,709930,Available,,,,,
AK,Aleutians West,Atka,99547,61,ANC-A,709930,Available,,,,,
AK,Lake and Peninsula,Chignik Lake,99548,73,ANC-A,709930,Available,,,,,
AK,Lake and Peninsula,Port Heiden,99549,102,ANC-A,709930,Available,,,,,
AK,Kodiak Island,Port Lions,99550,197,ANC-A,709930,Available,,,,,
AK,Bethel,Akiachak,99551,627,ANC-A,709930,Available,,,,,
AK,Bethel,Akiak,99552,346,ANC-A,709930,Available,,,,,
AK,Aleutians East,Akutan,99553,1027,ANC-A,709930,Available,,,,,
AK,Wade Hampton,Alakanuk,99554,677,ANC-A,709930,Available,,,,,
AK,Dillingham,Aleknagik,99555,221,ANC-A,709930,Available,,,,,
AK,Kenai Peninsula,Anchor Point,99556,2510,ANC-A,709930,Available,,,,,
AK,Bethel,Aniak,99557,726,ANC-A,709930,Available,,,,,
AK,Yukon-Koyukuk,Anvik,99558,85,ANC-A,709930,Available,,,,,
AK,Bethel,Bethel,99559,7632,ANC-A,709930,Available,,,,,
AK,Bethel,Chefornak,99561,418,ANC-A,709930,Available,,,,,
AK,Wade Hampton,Chevak,99563,938,ANC-A,709930,Available,,,,,
AK,Lake and Peninsula,Chignik,99564,91,ANC-A,709930,Available,,,,,
AK,Lake and Peninsula,Chignik Lagoon,99565,78,ANC-A,709930,Available,,,,,
AK,Valdez-Cordova,Chitina,99566,192,ANC-A,709930,Available,,,,,
AK,Anchorage,Chugiak,99567,9211,ANC-A,709930,Available,,,,,
AK,Kenai Peninsula,Clam Gulch,99568,279,ANC-A,709930,Available,,,,,
AK,Dillingham,Clarks Point,99569,64,ANC-A,709930,Available,,,,,
AK,Aleutians East,Cold Bay,99571,160,ANC-A,709930,Available,,,,,
AK,Kenai Peninsula,Cooper Landing,99572,296,ANC-A,709930,Available,,,,,
AK,Valdez-Cordova,Copper Center,99573,1115,ANC-A,709930,Available,,,,,
AK,Valdez-Cordova,Cordova,99574,2348,ANC-A,709930,Available,,,,,
AK,Bethel,Crooked Creek,99575,105,ANC-A,709930,Available,,,,,
AK,Dillingham,Dillingham,99576,2603,ANC-A,709930,Available,,,,,
AK,Anchorage,Eagle River,99577,25771,ANC-A,709930,Available,,,,,
AK,Bethel,Eek,99578,296,ANC-A,709930,Available,,,,,
AK,Lake and Peninsula,Egegik,99579,109,ANC-A,709930,Available,,,,,
AK,Dillingham,Ekwok,99580,115,ANC-A,709930,Available,,,,,
AK,Wade Hampton,Emmonak,99581,762,ANC-A,709930,Available,,,,,
AK,Aleutians East,False Pass,99583,35,ANC-A,709930,Available,,,,,
AK,Wade Hampton,Marshall,99585,417,ANC-A,709930,Available,,,,,
AK,Valdez-Cordova,Gakona,99586,605,ANC-A,709930,Available,,,,,
AK,Anchorage,Girdwood,99587,2250,ANC-A,709930,Available,,,,,
AK,Valdez-Cordova,Glennallen,99588,980,ANC-A,709930,Available,,,,,
AK,Bethel,Goodnews Bay,99589,243,ANC-A,709930,Available,,,,,
AK,Yukon-Koyukuk,Grayling,99590,194,ANC-A,709930,Available,,,,,
AK,Aleutians West,Saint George Island,99591,102,ANC-A,709930,Available,,,,,
AK,Yukon-Koyukuk,Holy Cross,99602,178,ANC-A,709930,Available,,,,,
AK,Kenai Peninsula,Homer,99603,9840,ANC-A,709930,Available,,,,,
